Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90,Clearances per 90
- - -,,Kylian Mbappé,"AM (RL), ST (C)",Man City,,England (Premier Division),-,"£425,000 p/w",30/6/2031,FRA,ENG,-,178 cm,73 kg,Right,30,Spirited,Evasive,Not for Sale,46 (9),"4,161",39,11,-,-16.91,16.01,-14.99,0.346,0.101,2.69,0.124,-44,0.028,1.319,6.36,46 (9),46,"4,161",223.65,7.79,39,0.84,158,87,55%,3.42,1.88,8,8,100%,43,22.09,25,2.05,11,0.24,89,1.93,"2,086",45.12,"1,811",39.17,87%,174,47,27%,110,2.38,101,639.9km,297,6.42,155,3.35,52%,0,61,1.32,86%,57,2,0,64,1.38,45,-,-,-,-,-,-,-,-,71,8,86%,13,9,75.65,71,13.841,0.97
- - A+ -,,Matthijs de Ligt,"D (C), DM",Chelsea,,England (Premier Division),-,"£325,000 p/w",30/6/2032,NED,ENG,-,189 cm,87 kg,Right,29,Leader,Reserved,£93M - £112M,56,"4,848",1,1,-,2.55,3.55,2.55,0.066,0.115,0.85,0.091,23,0.134,0.965,21.84,56,56,"4,848",261.2,7.35,1,0.02,31,8,26%,0.58,0.15,0,0,-,3,3.55,3,0.08,1,0.02,11,0.2,"4,361",80.96,"4,150",77.04,95%,8,3,37%,2,0.04,22,542.0km,688,12.77,583,10.82,85%,13,52,0.97,78%,45,9,1,158,2.93,383,-,-,-,-,-,-,-,-,67,0,-,4,,86.57,67,10.062,7.11
- - -,,Yusuf Demir,"M (RC), AM (RLC), ST (C)",Man City,,England (Premier Division),-,"£125,000 p/w",30/6/2032,AUT,,-,173 cm,72 kg,Left,25,Resolute,Reserved,£97M - £117M,25 (18),"2,431",12,4,-,-6.63,5.37,-6.63,0.199,0.085,2.23,0.073,-20,0,0.963,6.22,25 (18),25,"2,431",180.7,7.01,12,0.44,63,30,48%,2.33,1.11,0,0,-,12,5.37,15,1.79,4,0.15,55,2.04,"1,442",53.39,"1,248",46.2,87%,43,13,30%,29,1.07,38,386.5km,160,5.92,100,3.7,63%,0,26,0.96,68%,18,0,0,27,1,35,-,-,-,-,-,-,-,-,38,0,-,1,18,56.53,38,14.309,1.30
- - A -,,Adniellyson,"M/AM (C), ST (C)",Liverpool,,England (Premier Division),-,"£275,000 p/w",30/6/2033,BRA,POR,-,181 cm,76 kg,Right,22,Driven,Level-headed,£168M - £183M,39 (5),"3,380",13,2,-,0.51,11.99,0.99,0.319,0.106,1.25,0.059,-49,0.067,0.612,5.22,39 (5),39,"3,380",240.63,6.9,13,0.35,113,58,51%,3.01,1.54,2,2,100%,15,13.51,11,1.47,2,0.05,34,0.91,"1,428",38.02,"1,201",31.98,84%,22,3,13%,32,0.85,77,470.4km,352,9.37,140,3.73,40%,0,23,0.61,77%,28,2,0,23,0.61,38,-,-,-,-,-,-,-,-,30,2,77%,2,5,76.82,30,12.525,1.01
- - A+ -,Wnt,Youssoufa Moukoko,"AM (R), ST (C)",Paris SG,,France (Ligue 1 Uber Eats),-,"£250,000 p/w",30/6/2032,GER,CMR,-,179 cm,77 kg,Left,24,Model Citizen,Unflappable,£140M - £165M,25 (16),"2,529",9,6,-,1.45,10.45,1.45,0.372,0.129,1.82,0.074,-14,0.059,1.032,4.56,25 (16),25,"2,529",161.77,7.07,9,0.32,81,36,44%,2.88,1.28,0,0,-,19,10.45,21,2.99,6,0.21,81,2.88,"1,653",58.83,"1,467",52.21,89%,79,28,35%,35,1.25,43,383.7km,140,4.98,74,2.63,53%,0,29,1.03,85%,29,2,0,26,0.93,14,-,-,-,-,-,-,-,-,34,0,-,1,16,61.68,34,13.655,0.50
- - A -,,Ryan Gravenberch,"DM, M (C), AM (LC)",Liverpool,,England (Premier Division),-,"£300,000 p/w",30/6/2033,NED,SUR,-,190 cm,74 kg,Right,27,Fairly Determined,Level-headed,£219M - £238M,49,"3,981",13,10,-,-0.42,12.58,-0.42,0.284,0.088,1.03,0.152,-38,0.034,1.017,9.66,49,49,"3,981",244.81,7.27,13,0.29,143,49,34%,3.23,1.11,0,0,-,13,12.58,34,2.23,10,0.23,66,1.49,"2,970",67.14,"2,577",58.26,87%,65,26,40%,48,1.09,69,587.3km,366,8.27,283,6.4,77%,1,45,1.02,78%,31,2,0,60,1.36,87,-,-,-,-,-,-,-,-,58,0,-,8,,81.24,58,13.277,1.97
- - A+ -,,Eduardo Camavinga,"DM, M (C)",R. Madrid,,Spain (First Division),-,"£450,000 p/w",30/6/2032,FRA,CGO,-,182 cm,68 kg,Left,26,Light-Hearted,Unflappable,£117M - £145M,46 (2),"3,841",8,13,-,-0.49,7.51,-0.49,0.176,0.099,0.13,0.217,-3,0.089,1.781,7.76,46 (2),46,"3,841",243.05,7.39,8,0.19,76,29,38%,1.78,0.68,0,0,-,1,7.51,23,1.78,13,0.3,60,1.41,"3,401",79.69,"3,047",71.4,90%,38,10,26%,49,1.15,38,546.4km,241,5.65,160,3.75,66%,1,76,1.78,84%,35,8,1,46,1.08,72,-,-,-,-,-,-,-,-,91,0,-,5,2,80.02,90,12.803,1.69
- - -,Wnt,Nicolò Zaniolo,"M (RC), AM (RLC), ST (C)",Atalanta,,Italy (Serie A),£55M,"£210,000 p/w",30/6/2031,ITA,,Trained in nation (0-21),189 cm,78 kg,Left,29,Perfectionist,Evasive,£55M,21 (8),"1,847",8,5,-,-0.89,6.35,-1.65,0.309,0.074,0.16,0.119,-3,0.073,1.705,7.16,21 (8),21,"1,847",178.38,7.12,8,0.39,86,41,48%,4.19,2,1,0,0%,1,7.11,8,1.04,5,0.24,42,2.05,"1,045",50.92,905,44.1,87%,70,17,24%,16,0.78,22,285.1km,141,6.87,80,3.9,57%,0,35,1.71,85%,19,3,0,34,1.66,14,-,-,-,-,-,-,-,-,41,0,85%,0,8,63.69,41,13.892,0.68
- - A- -,,Federico Chiesa,"M/AM (RL), ST (C)",Man City,,England (Premier Division),-,"£275,000 p/w",30/6/2031,ITA,,Trained in nation (15-21),175 cm,70 kg,Right,31,Perfectionist,Evasive,Not for Sale,41 (8),"3,361",17,13,-,-5.21,11.79,-5.21,0.316,0.113,1.53,0.183,-1,0.14,1.151,6.14,41 (8),41,"3,361",205.9,7.33,17,0.46,104,53,51%,2.78,1.42,0,0,-,18,11.79,15,1.32,13,0.35,71,1.9,"1,831",49.03,"1,582",42.36,86%,198,54,27%,78,2.09,51,514.8km,213,5.7,119,3.19,56%,0,43,1.15,75%,50,8,0,58,1.55,33,-,-,-,-,-,-,-,-,57,0,-,3,8,68.59,57,13.785,0.88
- - -,,Rodri,"DM, M (C)",A. Madrid,,Spain (First Division),-,"£145,000 p/w",30/6/2030,ESP,ENG,-,191 cm,74 kg,Right,32,Professional,Level-headed,Not for Sale,44 (3),"3,466",3,9,-,0.9,3.9,0.9,0.101,0.095,0.77,0.2,6,0.079,1.428,8.11,44 (3),44,"3,466",235.5,7.13,3,0.08,41,13,32%,1.06,0.34,0,0,-,3,3.9,21,1.16,9,0.23,45,1.17,"3,094",80.34,"2,718",70.58,88%,30,8,26%,6,0.16,30,473.2km,224,5.82,178,4.62,79%,0,55,1.43,72%,36,6,0,38,0.99,77,-,-,-,-,-,-,-,-,76,0,-,3,3,73.74,76,12.287,2.00
