,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck C,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean Sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM
,Mike Maignan,GK,AC Milan,,Italy (Serie A),-,"£130,000 p/w",30/6/2028,FRA,GUF,-,191 cm,89 kg,Right,29,Driven,"Evasive, Reserved",£174M - £233M,36,36,"3,240",270,7.08,0,-,0,-,-,-,-,0,0,-,0,0,0,-,1,0.03,0,-,999,27.75,980,27.22,98%,-,-,-,0,-,0,230.2km,-,-,-,-,-,1,1,0.03,100%,0,0,0,5,0.14,-,33,0.92,16,-548%,39,15,39,-2%,1,1,100%,0
,Matteo Ruggeri,"D (LC), WB (L)",Atalanta,,Italy (Serie A),-,"£97,000 p/w",30/6/2029,ITA,,Trained at club (15-21),179 cm,78 kg,Left,22,Fairly Determined,Level-headed,£115M - £141M,27,27,"2,131",246.53,7.25,1,0.04,22,5,23%,0.93,0.21,0,0,-,7,1.53,27,2.63,13,0.55,119,5.03,"1,254",52.96,"1,076",45.44,86%,318,80,22%,77,3.25,51,323.6km,52,2.2,19,0.8,37%,2,67,2.83,78%,29,4,0,83,3.51,8,-,-,-,-,-,-,-,-,-,-,-,3
,Bruno Guimarães,"DM, M (C)",Newcastle,,England (Premier Division),-,"£180,000 p/w",30/6/2028,BRA,ESP,-,182 cm,73 kg,Right,27,Balanced,Level-headed,£166M - £183M,30 (1),30,"2,326",225.88,6.96,2,0.08,33,12,36%,1.28,0.46,0,0,-,1,3.96,7,0.66,1,0.04,29,1.12,"1,514",58.58,"1,341",51.89,89%,22,3,18%,32,1.24,26,347.2km,102,3.95,58,2.24,57%,0,65,2.52,80%,43,5,0,42,1.63,14,-,-,-,-,-,-,-,-,-,-,-,1
,Pedro Porro,D/WB/M (R),Tottenham,,England (Premier Division),-,"£130,000 p/w",30/6/2028,ESP,,-,176 cm,71 kg,Right,25,Fairly Determined,Media-friendly,£105M - £126M,26,26,"2,242",265.1,7.28,2,0.08,17,4,24%,0.68,0.16,0,0,-,0,1.28,10,1.12,6,0.24,29,1.16,"1,537",61.7,"1,408",56.52,92%,139,14,12%,48,1.93,22,301.3km,88,3.53,35,1.4,40%,6,71,2.85,78%,44,9,0,60,2.41,26,-,-,-,-,-,-,-,-,-,-,-,5
,Charles De Ketelaere,"AM (C), ST (C)",Atalanta,,Italy (Serie A),-,"£105,000 p/w",30/6/2029,BEL,,-,192 cm,79 kg,Left,23,Perfectionist,Level-headed,£68M - £81M,18 (11),18,"1,599",146.44,7.19,16,0.9,61,30,49%,3.43,1.69,3,3,100%,5,10.39,4,0.56,0,-,17,0.96,530,29.83,447,25.16,84%,10,1,10%,25,1.41,38,233.8km,118,6.64,66,3.71,56%,1,33,1.86,79%,17,0,0,17,0.96,6,-,-,-,-,-,-,-,-,-,-,-,2
,Theo Hernández,D/WB/M (L),AC Milan,,Italy (Serie A),-,"£145,000 p/w",30/6/2028,FRA,ESP,-,184 cm,81 kg,Left,27,Fairly Determined,Media-friendly,£204M - £224M,28,28,"2,319",248.8,7.08,8,0.31,35,22,63%,1.36,0.85,8,6,75%,2,9.41,15,1.49,2,0.08,57,2.21,"1,667",64.7,"1,535",59.57,92%,132,29,22%,53,2.06,18,342.6km,125,4.85,76,2.95,61%,6,66,2.56,88%,38,4,1,78,3.03,31,-,-,-,-,-,-,-,-,-,-,-,1
,Giorgio Scalvini,D (C),Atalanta,,Italy (Serie A),-,"£90,000 p/w",30/6/2029,ITA,,Trained at club (15-21),194 cm,88 kg,Right,21,Resolute,Level-headed,£99M - £113M,29,29,"2,451",240.43,7.21,4,0.15,24,10,42%,0.88,0.37,0,0,-,0,2.14,0,-,1,0.04,10,0.37,"2,163",79.42,"2,034",74.69,94%,6,1,16%,7,0.26,4,312.3km,191,7.01,121,4.44,63%,6,37,1.36,84%,13,0,0,72,2.64,14,-,-,-,-,-,-,-,-,-,-,-,1
,Michael Kayode,D/WB (R),Fiorentina,,Italy (Serie A),-,"£56,000 p/w",30/6/2029,ITA,NGA,Trained in nation (15-21),180 cm,70 kg,Right,20,Spirited,"Evasive, Reserved",£67M,22,22,"1,912",165.33,7.29,2,0.09,16,5,31%,0.75,0.24,0,0,-,4,1.49,10,0.49,7,0.33,24,1.13,"1,152",54.23,"1,007",47.4,87%,177,17,9%,84,3.95,49,291.2km,104,4.9,66,3.11,63%,1,63,2.97,82%,29,2,0,67,3.15,17,-,-,-,-,-,-,-,-,-,-,-,3
Ask,Alexandr Golovin,"M (LC), AM (RLC)",AS Monaco,,France (Ligue 1 Uber Eats),-,"£76,000 p/w",30/6/2029,RUS,FRA,-,180 cm,69 kg,Right,28,Resilient,"Evasive, Reserved",£56M - £84M,22,22,"1,790",170,7.61,5,0.25,49,15,31%,2.46,0.75,2,2,100%,9,4.7,11,0.58,4,0.2,39,1.96,840,42.23,702,35.3,84%,52,5,9%,73,3.67,22,246.8km,91,4.58,20,1.01,22%,2,73,3.67,83%,29,0,0,31,1.56,10,-,-,-,-,-,-,-,-,-,-,-,7
,Dominik Szoboszlai,M/AM (RLC),Liverpool,,England (Premier Division),-,"£120,000 p/w",30/6/2028,HUN,,-,186 cm,74 kg,Right,24,Perfectionist,Level-headed,£82M - £98M,16 (18),16,"1,790",159.46,7.25,11,0.55,52,30,58%,2.61,1.51,1,1,100%,3,5.45,10,1.93,9,0.45,65,3.27,743,37.36,619,31.12,83%,215,35,9%,45,2.26,14,259.2km,83,4.17,12,0.6,14%,0,53,2.66,75%,12,1,0,32,1.61,17,-,-,-,-,-,-,-,-,-,-,-,4
